#Network,#Country,#Region,#City,#Postal_Code
2a0a:6044:bcff:6c6f:6e61::1/128,NL,NL-NH,Amsterdam,1098 XG
2a0a:6044:bcff:6c6f:6463::1/128,DK,DK-84,Albertslund,2620
2a0a:6044:bcff:6c6f:6464::1/128,DE,DE-NW,Düsseldorf,40472
2a0a:6044:bcff:6c6f:6c6c::1/128,LU,LU-ME,Bissen,L-7795
2a0a:6044:bcff:6c6f:6374::1/128,CA,CA-ON,Toronto,M5A 0G7
2a0a:6044:bcff:6c6f:7077::1/128,PL,PL-14,Warszawa,00-697
2a0a:6044:bcff:6e73:6463::/80,DK,DK-84,Albertslund,2620
2a0a:6044:bcff:6e73:6464::/80,DE,DE-NW,Düsseldorf,40472
2a0a:6044:bcff:6e73:6c6c::/80,LU,LU-ME,Bissen,L-7795
2a0a:6044:bcff:6e73:6e61::/80,NL,NL-NH,Amsterdam,1098 XG
2a0a:6044:bcff:6e73:7077::/80,PL,PL-14,Warszawa,00-697
2a0a:6044:bcff:7263:6463::/80,DK,DK-84,Albertslund,2620
2a0a:6044:bcff:7263:6464::/80,DE,DE-NW,Düsseldorf,40472
2a0a:6044:bcff:7263:6c6c::/80,LU,LU-ME,Bissen,L-7795
2a0a:6044:bcff:7263:6e61::/80,NL,NL-NH,Amsterdam,1098 XG
2a0a:6044:bcff:7263:7077::/80,PL,PL-14,Warszawa,00-697
2a0a:6044:bcff:7261::/64,DE,DE-NW,Düsseldorf,40472
2a0a:6044:bcff:726c::/64,LU,LU-ME,Bissen,L-7795
2a0a:6044:bcff:7277::/64,PL,PL-14,Warszawa,00-697
2a0a:6044:bcff::/48,PL,PL-14,Warszawa,02-241
